评论ID,评论内容,评论图片,点赞数,评论时间,用户昵称,用户主页链接,用户抖音号,用户签名,回复总数,ip归属
7165084266044277517,高级感这方面，还得是我香秀啊[泣不成声][泣不成声][泣不成声][泣不成声],,1,2022-11-12 19:06:28,圆圆的杂货铺,https://www.douyin.com/user/MS4wLjABAAAA8Jg0ibSCesU4-wUDA13SE1EAv1T5Fc5mVemaYZBMGmo,,"❤️爱生活 爱买买买 爱分享❤️
❤️家居好物 日常好物分享❤️
🔥精选好物🎁都在下方（进入橱窗）👇👇👇
❤️祝所有下单的宝宝平安喜乐，所愿皆所得❤️",0,广东
7156429944296702728,口红推荐下。太好看啦,,9,2022-10-20 11:23:17,♡娜 🫧,https://www.douyin.com/user/MS4wLjABAAAAggHNrsb-hiTTsDABdKlyB_GNQmBoNH1fICG7lBlpKsc,Luck6870,"任何问题的到来，
都不要着急去做回应。
不要逼着自己去解决，
让这个事发酵一下，
也许就峰回路转了呢",0,山东
7156359172451435298,漂亮,,7,2022-10-20 06:48:49,快乐每一天,https://www.douyin.com/user/MS4wLjABAAAAIrufxmnYYMd14oZf1IYm-EhQKyMnAUnB4N_rOIii5bk,dyslkxqmkdrz.,,0,广东
7159427211106206472,高级感这方面，还得是我家香秀啊[害羞],,5,2022-10-28 13:14:12,用户3178216930231,https://www.douyin.com/user/MS4wLjABAAAAk5m0dvlgHCqs9Wg1F7O131ZwUHUIiw_484YVmnw98QAyOxHf-_SpyXi3QE84Y4ME,27419136242,,0,广西
7160450166612738828,玉泽反手一个赞,,5,2022-10-31 07:23:57,杰米太ne了🐣🦄💘,https://www.douyin.com/user/MS4wLjABAAAAmzcETjUNVNIeBJzqi-iZiXOIwCxrEkavyaL-SVCBpqY,,Cool girl,1,上海
7157950792896217897,玉泽[尬笑]哈哈哈哈,,8,2022-10-24 13:44:59,meiko--,https://www.douyin.com/user/MS4wLjABAAAAwFG4bOIyi_5YGhTESHttCO8Q68rxLyyaMjvzJEwfLcU,,🇨🇳🇨🇳小知闲闲 大知间间,0,四川
7156387507491373862,好美,,6,2022-10-20 08:38:40,小新很哇塞🐟,https://www.douyin.com/user/MS4wLjABAAAA6_NoMwER8mYKWv2BUXwQP10pXBdJlXPnRkbDzkVQ_yh6lKsyy8L6yr68yTSkoLyj,zzxxyy514,知命不惧 日日自新,0,安徽
7160482117293622030,你用的量是我三天的量，涂一点点我都觉得也太油了,,9,2022-10-31 09:27:54,C6238,https://www.douyin.com/user/MS4wLjABAAAA3coBjel08Wo_5OseV84HEeDx7kqIMg4QYkqNag8WVts,,,2,浙江
7155981418068837160,好身才[赞][赞][赞],,5,2022-10-19 06:22:55,浪尽天涯,https://www.douyin.com/user/MS4wLjABAAAAvW0lHE_dO4XGW--faJu3-e7jUS6mIA_qjA3IASPS0fYx1E_AjERq7mk1OPC95jnp,duibuqi38708,对不起又来看弟弟,0,重庆
7156384543237440260,好想看看牙齿长什么样，微笑好像没见过露牙[捂脸],,8,2022-10-20 08:27:07,金多多🌟🌟,https://www.douyin.com/user/MS4wLjABAAAAa77hOtbmJmlct4yAtGds7AF5xWXkQEXxMN0p2rn-PYw,whn9917,"🍎乐观、勇敢、坚强
🍑没有动态的日子  都在认真的生活～
🍉希望你我热烈且勇敢",0,广西
7159112298753360643,这个玉泽面霜怎么样,,18,2022-10-27 16:52:14,用户7984780530031,https://www.douyin.com/user/MS4wLjABAAAAN5cfG52S0YaAv0NkZ4t97GnaLAHCjYxFegBS-dDrX3M,82824825052,,2,河南
7158996378244219687,玉泽不是塌了吗，怎么还买啊[流泪],,4,2022-10-27 09:22:27,孟春,https://www.douyin.com/user/MS4wLjABAAAAntaSZSmzMQIuzZqnwodgfr_lQ2Id32vejWWKga9sSr8i_LhSBT-j-kdEpk73ujFi,w411526,carpe diem（及时行乐）,0,河南
7159773429204517644,咋长的，身材好不说，还那么好看[偷笑],,4,2022-10-29 11:37:41,Y🌸,https://www.douyin.com/user/MS4wLjABAAAANxaV4V86vsAy1V9jtpAeAYrCP3jmbN4VEuaAegHevzw,,,0,河北
7165094807701095181,这个发箍我也有，这个面霜我也用，就是不知道哪里不对劲[捂脸],,2,2022-11-12 19:47:20,小梦宝藏⁵¹¹,https://www.douyin.com/user/MS4wLjABAAAATXS7I9VPgae8ExvGVH-G7qrFcNqmY1LfXABsC-deehs,A.meng556,"🍭就是说很爱挖宝一女的
🎀我爱抖音！爱祖国！爱家人！
🍡每天分享好用好玩好看的事物",0,广东
7156112995562799885,这也太漂亮了吧[憨笑],,8,2022-10-19 14:53:28,纯姐姐,https://www.douyin.com/user/MS4wLjABAAAA6qstHVMhnr4-_2S7Ohj9SXIeoTWf9WNuUUdjK-_Gjvk,,潮汕姑娘👧90后四胎宝妈,1,广东
7156382609563960067,高级感这方面，还得是我香秀啊[泣不成声][泣不成声][泣不成声][泣不成声][可爱],,10,2022-10-20 08:19:42,柠檬🍋🍋🍋,https://www.douyin.com/user/MS4wLjABAAAAyn1-zPNSM2HhV7Jxpf_MS-qnyl6lItTwQ3vkEIN-_3xGd3ShHMpc0bzrXFJjtoK6,hanbaoHW3100,🍎感谢您的关注😜,0,广东
7331997173523563275,[比心][比心][比心],,0,2024-02-05 14:13:46,和氏璧化工,https://www.douyin.com/user/MS4wLjABAAAA-JbPGDsQ6JiOc9413XJsjjbkbeAx6Gm2JhPS7TBjATE,18905755867.,从事化工贸易十五载，开启化工人的抖音生活，为实现资源共享产业整合而生，服务科研、医药、化工领域。,0,浙江
7275654598504153912,@Sandm 我也喜欢玉泽,,0,2023-09-06 18:15:57,猪猪要早睡,https://www.douyin.com/user/MS4wLjABAAAAdnuvgLLiZ4qVzu1ein_gbrdlV5fYkj2hLTYPMGFLRIYz5O3uMBKU2pdjHu6L0LmA,bihaihaishen63,"理想型：坂口健太郎
除了党的考验，我不接受任何考验。",0,贵州
7274210610513298213,…,,0,2023-09-02 20:52:27,雪.,https://www.douyin.com/user/MS4wLjABAAAAKzf9KYEtXcztVqOKCQfN_SD1cF5_9laJ4FjRYvtg9EhAhmZRvls_dKnJcSIV1TQx,xue8506782,,0,广东
7258968360288650020,@Rain* 气质清冷型,,0,2023-07-23 19:04:47,47,https://www.douyin.com/user/MS4wLjABAAAAkkNvfwEWZS_lFvw7NVEVuJN_OMEUjBE5vz45VeXFIO8,,我想住在乞拉朋齐,1,云南
7240710309458084647,[赞][666],,0,2023-06-04 14:14:08,陈琬好物推荐,https://www.douyin.com/user/MS4wLjABAAAAPEcqlSrpVmOm4_oN-HN_l3EPROAERwcx0hvAKhkfvA4,chenwan54850,"我来自广西桂林市，每天分享实惠产品🔥🔥🔥🌸🌸🌸，视频同款全在橱窗里
商品持续更新  感谢关注✨✨✨💗💓
热爱生活  热爱抖音💗🎉💗💝
感谢官方  感谢粉丝关注💝💘💝",0,广西
7207818894081688359,[玫瑰],,1,2023-03-07 22:58:41,美业无界,https://www.douyin.com/user/MS4wLjABAAAAq_itctHXh1DJZPYxvnmICPeUZvpSOCitSDeQu9jCcOYdHYSpiBngkr3PfEzXhPNQ,WYM22011,"美业实体流量顾问&维怡美河北大区经理 
1栋美学技能学校  2个独立研发生产基地 4w➕加盟店
赋能美业同城「线上➕线下 」双向流量圈
一心帮助传统美容实体店解决获课升级问题
丨坚信利他就是利己丨分享商业流量密码丨",0,广东
7205817972056179512,好美啊[色][色],,0,2023-03-02 13:34:05,用户5698282169106,https://www.douyin.com/user/MS4wLjABAAAACa-ARoD4cXSqAK-XObQ7bhoESkW1TMr0JsuSdNLo0rNX6Vu5ibwNu5ILdjVbN74N,70409719811,,0,广东
7199535754808378112,[舔屏][舔屏][舔屏],,0,2023-02-13 15:15:57,成成,https://www.douyin.com/user/MS4wLjABAAAA7hCs9MXelEPfCZx6mSiLJ-hQR4HrTOOanpl_1jBnMSc,dypt2o7nc8ku,你开始让我觉得有点浪费时间了,0,黑龙江
7186604941186827046,@OK吗 她素颜都好漂亮,,0,2023-01-09 18:57:38,橘虞,https://www.douyin.com/user/MS4wLjABAAAA3E8rt3tFiFBTBObj6HxjrCCpcmaot3GLhXr8wPsTsDlrZKmjhzwiwJwfdxJsYkG3,bavtsuk,wfswjszfjyjdbyxn,0,四川
7175919349496513340,@月亮亮吖🌙🌙,,0,2022-12-11 23:52:20,一拳打死坏男人,https://www.douyin.com/user/MS4wLjABAAAAiNEH9yLWGat-rxtCzU6y_w7m8dtJV7UtPBG4J69JUAO9gdFJXMb0hCXNttUE-ayg,Zygote99,玫瑰从不慌张❤️,0,广东
7175448982637724419,@很晚了 你女神,,0,2022-12-10 17:26:54,用户7967816299629,https://www.douyin.com/user/MS4wLjABAAAAdj8ofJCNY-QkIaBnLhNoZm8tW4k0D0rBTVcLjSyz_NKuP8WrKr2pjxpGXywu-Mbg,25867953409,,1,浙江
7174783020602868514,@Derrick rose,,0,2022-12-08 22:22:34,海海海,https://www.douyin.com/user/MS4wLjABAAAAVO9c5afsJI8JnYUr8TAPzTUMmXDiplXH9qvYamk8-jg,,,0,湖南
7172930743799497524,@我不吃麻辣椒 [舔屏][舔屏][舔屏][舔屏],,0,2022-12-03 22:34:50,海海海,https://www.douyin.com/user/MS4wLjABAAAAVO9c5afsJI8JnYUr8TAPzTUMmXDiplXH9qvYamk8-jg,,,1,湖南
7168134344715125519,[玫瑰],,0,2022-11-21 00:22:27,♛,https://www.douyin.com/user/MS4wLjABAAAACsXOy0qI5-o-sey3dLzzOERPj00o1bMvv1B5106ODd8,7055.,,0,江苏
7165116337264952098,@猫猫大 这个你应该也喜欢啊,,0,2022-11-12 21:10:53,1sayee,https://www.douyin.com/user/MS4wLjABAAAA1AH9G2xZ0BxJfq-Aim95G9zsUrPrbNQUD9OmFts9JP6oQTVk0I-mOODz2fRzaY3-,41283449978,希望你也能睡个好觉,0,湖南
7165104814136853262,[赞][赞][赞],,1,2022-11-12 20:26:12,用户0583324041496,https://www.douyin.com/user/MS4wLjABAAAAw4AlPdmbXRaoUdTqNwhALufeqW9_34CPI8oOJgIySjM,64447940439,,0,湖北
7165092746318463756,皮肤太好了吧,,2,2022-11-12 19:39:20,初遇,https://www.douyin.com/user/MS4wLjABAAAAZDBJ96ntMNp-L0DOY6H25uAOA9mhOVJZ5t4l4ViZ21ttnh_mWi7HDbO1IzvRhmM4,luocha5429,,0,江苏
7165083268600972046,有一说一，好漂亮😍,,3,2022-11-12 19:02:35,用户5021407748337,https://www.douyin.com/user/MS4wLjABAAAA2_Y2qPExOhLyeezxR4ROBiudHxKaFmDfJTNuUZ8Fk79xLxuRgWsm0qM92Auu6elt,68578745819,,0,广东
7156017927506330368,漂亮的小姐姐,,7,2022-10-19 08:44:38,用户3735463196453,https://www.douyin.com/user/MS4wLjABAAAAGYKR5Ym9M6dFbKUY1c5V-toiXV-UKZPi5IHy_R0hegA_HosiOmZ6GdkC7GDHgFd6,53109597614,,1,陕西
7164371729421697799,不是我一个人觉得她好看吧[偷笑],,5,2022-11-10 21:01:26,汤泡饭,https://www.douyin.com/user/MS4wLjABAAAAeGPoQoTbC8etWloy40KxRpJTfHvfo8j4kKCG8oL8rRA,,快乐 万岁🎉,0,江苏
7156060763336164110,好美好美,,7,2022-10-19 11:30:40,292992,https://www.douyin.com/user/MS4wLjABAAAAI9I1FA7HflOBj2WQblX1daim9YrauLsxe_59YsYIXR4yDCT5AXPy42Zdx6Ec4tnP,33084538045,,0,江苏
7158080424038646562,好美啊[流泪],,4,2022-10-24 22:07:56,阿晨晨🍓,https://www.douyin.com/user/MS4wLjABAAAAYF7AlEkBeV4WknsGx5ZmWmz3OoeY-WyozYjdraR7VEtCyDDTdoIqxKLkFro9GODQ,chenchenbuch79,现实终将实现,0,河南
7157104651602395917,美美的,,10,2022-10-22 07:01:37,慧兰,https://www.douyin.com/user/MS4wLjABAAAAVmxE5v7nYtriXeetUf79sg8WIHdrS3HMI5fvtAtLvPc,huilan35528,,0,江苏
7156017423056765733,真好看,,8,2022-10-19 08:42:35,用户1358432459077,https://www.douyin.com/user/MS4wLjABAAAAdPe7wz98MpzsIlVLF_9H5UDSa7wUIBBuCFI_dUM_eCdEMAUXVWRU8toGK8KNNHBg,86742745579,,0,广西
7156067051353342750,好漂亮,,5,2022-10-19 11:55:07,孟辰辰,https://www.douyin.com/user/MS4wLjABAAAAJT-TCXVXAkUrbWegP2X-xfUhrxFneezS6M9SNxyAul8,wuyou160331,,0,内蒙古
7154954899242205982,咋长的，身材好不说，还那么漂亮[赞][赞],,1492,2022-10-16 11:59:22,@小吴～～,https://www.douyin.com/user/MS4wLjABAAAA7nQLJkC7u4XQb6iBqK1FjhWfXXkUOT_oy5CbBP8M4v3PFLR-uN9Uu1R3pJ0AvdHT,duoduo521xixi,🌹谢谢大家的关注和喜欢，感恩遇见你们,8,山东
7157148224691503883,你们夸完了我夸什么[流泪][流泪],,5,2022-10-22 09:50:38,芋圆椰奶冻,https://www.douyin.com/user/MS4wLjABAAAAuMoGKjBK4pfpTzcjybXSrE5nyoaKt3-k2JvqVvzVtnI,276581loveyou,平安健康就是幸福,0,四川
7156187642403980065,皮肤真好！,,7,2022-10-19 19:43:00,风清扬gjh,https://www.douyin.com/user/MS4wLjABAAAAoPGjCtSiHORnw-TlY3wUPAXk6DrqVjyYuOQkTtQ7g6IwzyrGBjoqn5HVrl7aBZxF,dy6xngs9nitu,摄影，教育，旅游,0,河南
7356084821955003172,刘涛[流泪][流泪][流泪],"['https://p9-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/a30ec8baef0e41b095eaf4e73a673019~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1740150000&x-signature=Ym7eBCV1vlbzzC6vu40gvIrrkTc%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250221171512270390042C9E4B006915', 'https://p26-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/a30ec8baef0e41b095eaf4e73a673019~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1740150000&x-signature=o3vtl2yqm3BixKVDL8IHt0k9Crw%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250221171512270390042C9E4B006915', 'https://p11-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/a30ec8baef0e41b095eaf4e73a673019~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1740150000&x-signature=c%2BdAjMfO0LmMrIeubMhtScWujME%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250221171512270390042C9E4B006915', 'https://p9-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/a30ec8baef0e41b095eaf4e73a673019~tplv-p14lwwcsbr-7.jpeg?lk3s=7b078dd2&x-expires=1740150000&x-signature=8FGS36IilhFZP%2BcxVDhjXBmDcNg%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250221171512270390042C9E4B006915']",0,2024-04-10 12:06:08,茜茜追剧,https://www.douyin.com/user/MS4wLjABAAAAS6nUjfsNG599q6ckvJ32GsI5k4W94BsCOuGIKQbyee4,,"🍹🧋喜欢追剧，看剧
🍹🧋欢迎关注，一起追剧
🍹🧋持续更新中，总有一部你喜欢",0,重庆
7158247057252795170,好美,,8,2022-10-25 08:54:41,用户1008227933912,https://www.douyin.com/user/MS4wLjABAAAAvA5wgL0EJO6AYnLOSXzW-lq0VhK4QwQCL3SYcfQSHepos72-5ZcIpaQjvceid-wJ,84217574351,,0,辽宁
7153177676701336352,全抖音最美女人[流泪],,348,2022-10-11 17:02:52,Mingyu,https://www.douyin.com/user/MS4wLjABAAAAIfvano-HVk7f3m9WRpr_FT-_EOTdVWX_rbX3JW944pqL6iwLKwYoM5yCQIp5ZKqy,70904043695,有的是时间,3,安徽
7157953388918719272,又心动咯,,4,2022-10-24 13:55:05,鑫鑫呀~,https://www.douyin.com/user/MS4wLjABAAAAXAlVff5wB5UbP8LzQ0YHN5_aE_1m0Jbi9O08imy8eAg,,“知其不可奈何而安之若命”，我偏偏要“心若有所向往  何惧道阻且长,0,云南
7154889384104706816,主播上衣,,8,2022-10-16 07:45:11,粉,https://www.douyin.com/user/MS4wLjABAAAAluUCpHd1T7056RzJVfjvR9t368MOexSMnqFFKGXqdLvWj0C7MJvMmuFWWp8AOKkF,55571936688,,0,江苏
7158033154824930086,好有气质[泣不成声],,6,2022-10-24 19:04:33,悦悦❤️‍🔥,https://www.douyin.com/user/MS4wLjABAAAAyWUBQhf8D7_2u9bMphu7EXZ_aB5z-NQWhDs-xYpzsio,52018299348,⛱ 生活的本意就是哄自己开心🥳,0,湖南
7163842161937580835,两只眼睛不一样？,,4,2022-11-09 10:46:28,小君君,https://www.douyin.com/user/MS4wLjABAAAAaXloA00qJ0Fm4p_PqYnfgtvLOJkq3YsNI1Qv3bwYYRo,,你若盛开，蝴蝶自来！,0,安徽
7158241749981840131,好皮肤是你的，好身材是你的，好气质也是你的，为什么都是你！[比心][比心][比心],,8,2022-10-25 08:34:04,瞳～夢,https://www.douyin.com/user/MS4wLjABAAAAtRJuTdTLCaVf5TkY5KDBfzjpNOmFUDUqz4gv_EtI7nY,yu8147812,"❤爱生活，爱分享，每日为您精选好物
👉视频同款在÷窗，请大家放心选购！",1,江西
7155033420702647079,好好看啊[比心],,127,2022-10-16 17:04:04,萱宝吖,https://www.douyin.com/user/MS4wLjABAAAAm4oXYMgdnJLdUU_Svde66TYOA33eSXT4hX2e7Pudmns,,"爱穿搭，爱生活，爱分享💕
漂亮，是一种必然状态💕
精致，是一种生活态度💕
时尚，是一种精神支柱💕
感谢你的支持🙏",1,广西
7158265545091498788,好米啊[舔屏][舔屏],,9,2022-10-25 10:06:28,羚羊谷,https://www.douyin.com/user/MS4wLjABAAAAW82grcN9EAAqlRs8qz-dieeHS8c4iNVkxOqa7-xqzxQ,,我许愿遇到一个不会骗我 也不会让我流泪的人,0,四川
7153985273525109544,漂亮,,254,2022-10-13 21:16:43,倩依坊,https://www.douyin.com/user/MS4wLjABAAAAfkq1yOi1fYr2sF78YmbLS6So19Jwwe1kNFQL-jAKT-0,Zq93210917,希望遇到眼光相似的你吖～,4,山西
7153180387169403659,你给我删了,,1457,2022-10-11 17:13:20,一只顾,https://www.douyin.com/user/MS4wLjABAAAAzROiPtTGUEIBrA0f57ua0-qMit-OmezwvW4Ou8GUNyk,,随缘更新香秀日常,114,天津
7156002392704549662,美女有40岁吗？,,27,2022-10-19 07:44:13,素姐精品鞋屋,https://www.douyin.com/user/MS4wLjABAAAAE1X6u5XwlUr4AXmFe7MfK0wMaetFfLrmYqCfqjVIoWU,,"爱生活，爱分享
感恩平台，感恩所有的遇见
美好的事物分享给爱生活的您
分享生活好物，提升生活幸福感",2,浙江
7156467935871501094,我也觉得玉泽好用[流泪],,12,2022-10-20 13:50:46,62^,https://www.douyin.com/user/MS4wLjABAAAAVNhyvUmeze4cHzQBTYIqSjcmOJt8UgGG40pjTx_oKFJMr1lSTkiV5bcRPpspvtiS,dycyviqya35l,一半一半啦^_^,0,IP未知
7157913051503592226,为什么笑那么大还不漏牙[捂脸][捂脸][捂脸],,11,2022-10-24 11:18:29,喜乐🧣,https://www.douyin.com/user/MS4wLjABAAAAMyBzC8F27XePPY2GU_ErPhJP7gMbIiaFNij-5b9wRDc,ayyyklzs888,,4,河北
7153208744133083911,发箍发箍，嗷嗷好看,,134,2022-10-11 19:03:22,元气满满低卡,https://www.douyin.com/user/MS4wLjABAAAABe1Ou8tHL0eAU6A2P00j0PuJTWqn8IA6CogJsDzY5s1cR-FMt0hSBKTlxp-O05s-,61078312637,,4,浙江
7156276868584407847,好用,,7,2022-10-20 01:29:55,🎈小盆宇,https://www.douyin.com/user/MS4wLjABAAAAaMZnuqQnmg-V7q7y4zgQdglTH4BhTXKGU9k3_e-ylgU,,,0,贵州
7159878176189383439,真的好像张彬彬呢[流泪],,6,2022-10-29 18:24:12,大鼻嘎拉丝胶黏,https://www.douyin.com/user/MS4wLjABAAAAaHxy-XUIQ_Na-gZ3oevBXMGOx_ss9vqi8BpaaLYFDFI,88888888.th,你当像鸟飞向你的山,0,吉林
7156465697265648384,是不是好看的美女都化妆呀！[微笑],,4,2022-10-20 13:42:02,抖音新用户,https://www.douyin.com/user/MS4wLjABAAAA4RRZQmnqECKFqn0MCubeJz3-Pp7w2sTCPFujNkz4NjZmGvZFesaOMYASg9IhHcbV,dyxyh1978,一个人总得有点爱好吧！,0,辽宁
7156103669476426535,果然评论区都是人才，我是来看评论的,,5,2022-10-19 14:17:11,龙港珍姐（韩氏古方百有西街店）,https://www.douyin.com/user/MS4wLjABAAAAlpwSPgJzrDtpmV1aEt38X4zIsLd1bc32OTVJhdJ7X6c,,"💕感谢抖音平台让我们相遇
💕我是一名70后的美业人~
💕从事美业瘦身15年，开店15年
💕贩卖人间美好，远离肌肤身材困扰
💕诚信经营
💕希望身边的朋友，宝妈们都可以成功改变自己，变身小姐姐!欢迎👏👏咨询，免费体验!",0,浙江
7165082725556585253,好看[赞],,3,2022-11-12 19:00:29,熹美吖,https://www.douyin.com/user/MS4wLjABAAAAsk6WqY5Zc5DC7oR0zPeTQX3jjW_QvCMb11UuLp2Hod_NKILTc5ghupzpZ6DKT4UF,Feng4385,"🌹宝妈一枚，爱生活 爱分享。
🔎搜寻全网性价比最高的平价好物！！
👉🏻视频同款都在下方 ÷窗里
🙋‍♀️每产品均为实拍 亲测好用才分享！
💢禁搬运视频，侵权投诉到底！！",0,广东
7165076954763428621,好看,,2,2022-11-12 18:38:04,唛唛🤓🤓,https://www.douyin.com/user/MS4wLjABAAAAtHcgvqRZ8RaYVapHsBdM6eUVtDxzIVMmrR7cFHuGyW4,,"每日更新必备好物，提升生活幸福指数💹
 ❤用心做事，态度决定一切❤
  同款商品视频左下角都可以购买或者橱窗搜索🔍
    ⬇️ “进入橱窗”⬇",0,广东
7165069072232579840,小姐姐好漂亮啊,,2,2022-11-12 18:07:33,西柚❤️,https://www.douyin.com/user/MS4wLjABAAAANrME89UlRYcS6DnG1Bt3DQtoMXEZZQIBGEzQwmh_Gic,p920802,"🍓一个热爱生活的90后宝妈
🍓S频同款在➗窗 或进小黄车🛒
素材来源网络 如有侵权请联系删除",0,陕西
7165064593260806923,太爱姐姐的颜了😍,,1,2022-11-12 17:50:07,肥肥n,https://www.douyin.com/user/MS4wLjABAAAASUPT18endq5PT_d8HCIKE7C7PLhCBpAlIUSj9iQdIi8GUmXlsXR5OIdJs5FTvlTF,tai0909,生活不止朋友圈,0,贵州
7165063851746460450,真的好美,,2,2022-11-12 17:47:19,用户6169972308144,https://www.douyin.com/user/MS4wLjABAAAAnJ9RZaSPycfcA4DINV55mNkx6vuj4Ab4uuIVTNxF0YQ,45847916772,,0,河南
7165062298096468739,这个真的很好看,,2,2022-11-12 17:41:15,用户5257811491131,https://www.douyin.com/user/MS4wLjABAAAA1jWKEW_4y7vuNMdEh8XNXm8q7LIWzz6Zz2VjU0GaUfU,93664842249,,0,上海
